CIE10;DIAGNOSTICO DESCRIPCION;TIPO
H02.5;OTROS TRASTORNOS FUNCIONALES DEL PARPADO;CURA
H02.8;OTROS TRASTORNOS ESPECIFICADOS DEL PARPADO;CURA
H02.9;TRASTORNO DEL PARPADO, NO ESPECIFICADO;CURA
H03.0;INFECCION E INFESTACION PARASITARIA DEL PARPADO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CURA
H03.1;COMPROMISO DEL PARPADO EN ENFERMEDADES INFECCIOSAS CLASIFICADAS EN OTRA PARTE;CURA
H03.8;COMPROMISO DEL PARPADO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE (*);CURA
H10.5;BLEFAROCONJUNTIVITIS;CURA
L01.0;IMPETIGO EN PARPADO;CURA
S01.1;HERIDA DEL PARPADO Y DE LA REGION PERI OCULAR;CURA
T26.0;QUEMADURA DEL PARPADO Y AREA PERIOCULAR;CURA
T26.5;CORROSION DEL PARPADO Y AREA PERIOCULAR;CURA
H11.04;PTERIGION OCULAR NASAL Y TEMPORAL;CURA
H04.56;OBSTRUCCION DE VIAS LAGRIMALES(VIA LAGRIMAL);CURA
H53.2;DIPLOPIA;CURA
H53.3;OTROS TRASTORNOS DE VISION BINOCULAR Y LOS NO ESPECIFICADOS;CURA
H55.0;NISTAGMO;CRONICO
H55.X;NISTAGMO Y OTROS MOVIMIENTOS OCULARES IRREGULARES;CRONICO
H49.8;OTROS TIPOS DE ESTRABISMOS PARALITICO;CURA
H49.9;ESTRABISMO PARALITICO, NO ESPECIFICADO;CURA
H50.0;ESTRABISMO CONCOMITANTE CONVERGENTE;CURA
H50.1;ESTRABISMO CONCOMITANTE DIVERGENTE;CURA
H50.2;ESTRABISMO VERTICAL;CURA
H50.3;HETEROTROPIA INTERMITENTE(ESTRABISMO);CURA
H50.4;OTRAS HETEROTROPIAS O LAS NO ESPECIFICADAS (ESTRABISMO);CURA
H50.5;HETEROFORIA (FORIAS)(ESTRABISMO);CURA
H50.6;ESTRABISMO MECANICO;CURA
H50.8;OTROS ESTRABISMOS ESPECIFICADOS;CURA
H50.9;ESTRABISMO, NO ESPECIFICADO;CURA
H51.0;PARALISIS (ESPASMO) DE MIRADA CONJUGADA(ESTRABISMO);CURA
H51.1;INSUFICIENCIA Y EXCESO DE CONVERGENCIA OCULAR(ESTRABISMO);CURA
H51.2;OFTALMOPLEJIA INTERNUCLEAR(ESTRABISMO);CURA
H51.8;OTROS TRASTORNOS ESPECIFICADOS DEL MOVIMIENTO BINOCULAR(ESTRABISMO);CURA
H51.9;TRASTORNO DEL MOVIMIENTO BINOCULAR, NO ESPECIFICADO(ESTRABISMO);CURA
Z76.2;CONSULTA PARA ATENCION Y SUPERVISION DE LA SALUD DE OTROS NIÑOS O LACT;CUIDA
Q77.0;ACONDROGENESIS;CRONICO
Q77.4;ACONDROPLASIA;CRONICO
Q12.3;AFAQUIA CONGENITA;CRONICO
H53.0;AMBLIOPIA EX ANOPSIA;CRONICO
P39.1;CONJUNTIVITIS Y DACRIOCISTITIS NEONATALES;CURA
H31.0;CICATRICESCORIORRETINIANAS;CRONICO
H05.3;DEFORMIDAD DE LA ORBITA;CRONICO
H35.3;DEGENERACION DE LA MACULA Y DEL POLO POSTERIOR DEL OJO;CRONICO
H35.4;DEGENERACION PERIFERICA DE LA RETINA;CRONICO
E12.3;DIABETES MELLITUS ASOCIADA CON DESNUTRICION, CON COMPLICACIONES OFTALMICAS;CRONICO
E10.4;DIABETES MELLITUS INSULINODEPENDIENTE CON COMPLICACIONES NEUROLOGICAS;CRONICO
E10.0;DIABETES MELLITUS INSULINODEPENDIENTE, CON COMA;CRONICO
E10.3;DIABETES MELLITUS INSULINODEPENDIENTE, CON COMPLICACIONES OFTALMICAS;CRONICO
E14.X;DIABETES MELLITUS NO ESPECIFICADA;CRONICO
E11.4;DIABETES MELLITUS NO INSULINODEPENDIENTE CON COMPLICACIONES NEUROLOGICAS;CRONICO
E11.3;DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES OFTALMICAS;CRONICO
E14.3;DIABETES MELLITUS, NO ESPECIFICADA, CON COMPLICACIONES OFTALMICAS;CRONICO
H35.5;DISTROFIA HEREDITARIA DE LA RETINA;CRONICO
Q11.0;GLOBO OCULAR QUISTICO;CRONICO
Q14.1;MALFORMACION CONGENITA DE LA RETINA;CRONICO
Q14.0;MALFORMACION CONGENITA DEL HUMOR VITREO;CRONICO
H34.0;OCLUSION ARTERIAL TRANSITORIA DE LA RETINA;CRONICO
H34.1;OCLUSION DE LA ARTERIA CENTRAL DE LA RETINA;CRONICO
H34.9;OCLUSION VASCULAR RETINIANA, SIN OTRA ESPECIFICACION;CRONICO
H34.2;OTRAS FORMAS DE OCLUSION DE LA ARTERIA DE LARETINA;CRONICO
Q14.8;OTRAS MALFORMACIONES CONGENITAS DEL SEGMENTO POSTERIOR DEL OJO;CRONICO
H34.8;OTRAS OCLUSIONES VASCULARES RETINIANAS;CRONICO
H35.2;OTRAS RETINOPATIAS PROLIFERATIVAS, NO DIABETICA;CRONICO
H35.1;RETINOPATIA DE LA PREMATURIDAD;CRONICO
H36.0;RETINOPATIA DIABETICA (E10-E14+ CON CUARTO CARACTER COMUN .3) (*);CRONICO
H35.0;RETINOPATIAS DEL FONDO Y CAMBIOS VASCULARES RETINIANOS;CRONICO
H33.1;RETINOSQUISIS Y QUISTES RETINALES;CRONICO
T90.4;SECUELA DE TRAUMATISMO DEL OJO Y DE LA ORBITA;CRONICO
C69.2;TUMOR MALIGNO DE LA RETINA;CRONICO
H35.30;DEGENERACION DE LA MACULA RELACIONADA CON LA EDAD (DMRE);CRONICO
D31.2;TUMOR BENIGNO DE LA RETINA;CUIDA
H05.5;RETENCION DE CUERPO EXTRAÑO (ANTIGUO), CONSECUTIVA A HERIDA PENETRANTE DE LA ORBITA;CUIDA
H35.7;SEPARACION DE LAS CAPAS DE LA RETINA;CUIDA
H35.8;OTROS TRASTORNOS ESPECIFICADOS DE LA RETINA;CUIDA
H35.9;TRASTORNO DE LA RETINA, NO ESPECIFICADO;CUIDA
H36.8;OTROS TRASTORNOS DE LA RETINA EN ENFERMEDADES CLASIFICADOS EN OTRA PARTE;CUIDA
H31.4;DESPRENDIMIENTO DE LA COROIDES;CURA
H33.0;DESPRENDIMIENTO DE LA RETINA CON RUPTURA;CURA
H33.2;DESPRENDIMIENTO SEROSO DE LA RETINA;CURA
H33.3;DESGARRO DE LA RETINA SIN DESPRENDIMIENTO;CURA
H33.4;DESPRENDIMIENTO DE LA RETINA POR TRACCION;CURA
H33.5;OTROS DESPRENDIMIENTOS DE LA RETINA;CURA
H35.05;ENFERMEDAD DE EALES;CURA
H36.8;OTROS TRASTORNOS DE LA RETINA EN ENFERMEDADES CLASIFICADOS EN OTRA PAR;CURA
H33;DESPRENDIMIENTO Y DESGARRO DE LA RETINA;CURA
R03.0;LECTURA ELEVADA DE LA PRESION SANGUINEA, SIN DIAGNOSTICO DE HIPERTENSI;CUIDA
H35;OTROS TRASTORNOS DE LA RETINA;CURA
I11.9;ENFERMEDAD CARDIACA HIPERTENSIVA SIN INSUFICIENCIA CARDIACA CONGESTIVA;CUIDA
E11.3;DIABETES MELLITUS NO INSULINODEPENDIENTE, CON COMPLICACIONES OFTALMICA;CURA
H44.5;AFECCIONES DEGENERATIVAS DEL GLOBO OCULAR;CRONICO
G45.3;AMAUROSIS FUGAZ;CRONICO
H31.2;DISTROFIA COROIDEA HEREDITARIA;CRONICO
H32.0;INFLAMACION CORIORRETINIANA EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE;CRONICO
Q14.2;MALFORMACION CONGENITA DEL DISCO OPTICO;CRONICO
Q14.9;MALFORMACION CONGENITA DEL SEGMENTO POSTERIOR DEL OJO, NO ESPECIFICADA.;CRONICO
3;MENBRANA NEOVASCULAR;CRONICO
H35.050;PERIVASCULITIS RETINIANA;CRONICO
H35.05;VASCULITIS RETINIANA;CRONICO
H35.051;VASCULITIS RETINIANA POST LUPUS ERITEMATOSO SISTEMICO;CRONICO
H31.3;HEMORRAGIA Y RUPTURA DE LA COROIDES;CURA
H35.6;HEMORRAGIA RETINIANA;CURA
H43.0;PROLAPSO DEL VITREO;CURA
H43.1;HEMORRAGIA DEL VITREO;CURA
H45.0;HEMORRAGIA DEL VITREO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CURA
H32.04;CORIORRETINITIS CITOMEGALOVIRUS (CMV);CURA
B58.00;CORIORRETINITIS DEBIDO A TOXOPLASMA;CURA
H30.82;COROIDITIS SERPIGINOSA;CURA
H35.82;ISQUEMIA RETINIANA;CURA
H31.80;NEOVASCULARIZACION DE LA COROIDES;CURA
M08.2;ARTRITIS JUVENIL DE COMIENZO GENERALIZADO;CRONICO
M05.3;ARTRITIS REUMATOIDE CON COMPROMISO DE OTROS ORGANOS O SISTEMAS;CRONICO
M08.0;ARTRITIS REUMATOIDE JUVENIL;CRONICO
M06.0;ARTRITIS REUMATOIDE SERONEGATIVA;CRONICO
M06.9;ARTRITIS REUMATOIDE, NO ESPECIFICADA;CRONICO
M05.9;ARTRITIS REUMATOIDEA SEROPOSITIVA, SIN OTRA ESPECIFICACION;CRONICO
H54.0;CEGUERA DE AMBOS OJOS;CRONICO
H54.4;CEGUERA DE UN OJO;CRONICO
H54.1;CEGUERA DE UN OJO, VISION SUBNORMAL DEL OTRO;CRONICO
H53.6;CEGUERA NOCTURNA;CRONICO
H30.2;CICLITIS POSTERIOR;CRONICO
B69.1;CISTICERCOSIS DEL OJO;CRONICO
Q12.2;COLOBOMA DEL CRISTALINO;CRONICO
Q13.0;COLOBOMA DEL IRIS;CRONICO
Q77.3;CONDRODISPLASIA PUNCTATA;CRONICO
H30.0;CORIORRETINITIS FOCAL;CRONICO
H30.9;CORIORRETINITIS, NO ESPECIFICADA;CRONICO
H30.1;CORIORRETINITISDISEMINADA (MULTIFOCAL);CRONICO
F02.4;DEMENCIA EN LA ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH] (B22.0+) (*);CRONICO
H15.1;EPISCLERITIS;CRONICO
H15.0;ESCLERITIS;CRONICO
Q13.5;ESCLEROTICA AZUL;CRONICO
M31.3;GRANULOMATOSIS DE WEGENER;CRONICO
B02.3;HERPES ZOSTER OCULAR;CRONICO
P37.1;HIDROCEFALO POR TOXOPLASMOSIS CONGENITA;CRONICO
H20.0;IRIDOCICLITIS AGUDA Y SUBAGUDA;CRONICO
H20.1;IRIDOCICLITIS CRONICA;CRONICO
H22.0;IRIDOCICLITIS EN ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE (*);CRONICO
H22.1;IRIDOCICLITIS EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CRONICO
H20.2;IRIDOCICLITIS INDUCIDA POR TRASTORNOS DEL CRISTALINO;CRONICO
H20.9;IRIDOCICLITIS, NO ESPECIFICADA;CRONICO
B83.0;LARVA MIGRANS VISCERAL U OCULAR (TOXOCARIASIS);CRONICO
M99.9;LESION BIOMECANICA, NO ESPECIFICADA;CRONICO
A66.1;LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO;CRONICO
B58.0;OCULOPATIA DEBIDA A TOXOPLASMA (+);CRONICO
B00.5;OCULOPATIA HERPETICA;CRONICO
A50.0;OCULOPATIA SIFILITICA CONGENITA PRECOZ, SINTOMATICA;CRONICO
A50.3;OCULOPATIA SIFILITICA CONGENITA TARDIA;CRONICO
H30.8;OTRAS CORIORRETINITIS;CRONICO
H44.1;OTRAS ENDOFTALMITIS;CRONICO
H20.8;OTRAS IRIDOCICLITIS ESPECIFICADAS;CRONICO
Q13.2;OTRAS MALFORMACIONES CONGENITAS DEL IRIS;CRONICO
H35.052;OTRAS VASCULITIS RETINIANA;CRONICO
H32.8;OTROS TRASTORNOS CORIORRETINIANOS EN ENFERMEDADES CLASIFICADOS EN OTRA PARTE;CRONICO
H44.3;OTROS TRASTORNOS DEGENERATIVOS DEL GLOBO OCULAR;CRONICO
E75.5;OTROS TRASTORNOS DEL ALMACENAMIENTO DE LIPIDOS;CRONICO
H47.3;OTROS TRASTORNOS DEL DISCO OPTICO;CRONICO
H22.8;OTROS TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CRONICO
H48.8;OTROS TRASTORNOS DEL NERVIO OPTICO Y DE LAS VIAS OPTICAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;CRONICO
G50.8;OTROS TRASTORNOS DEL TRIGEMINO;CRONICO
H44.10;PANUVEITIS(ENDOFTALMITIS);CRONICO
D86.8;SARCOIDOSIS DE OTROS SITIOS ESPECIFICADOS O DE SITIOS COMBINADOS;CRONICO
B58.8;TOXOPLASMOSIS CON OTRO ORGANO AFECTADO;CRONICO
H32.1;TOXOPLASMOSIS OCULAR;CRONICO
B58.9;TOXOPLASMOSIS, NO ESPECIFICADA;CRONICO
H20.00;UVEITIS ANTERIOR AGUDA;CRONICO
H20.01;UVEITIS ANTERIOR CON HIPOPION;CRONICO
H20.04;UVEITIS ANTERIOR EN HERPES SIMPLES;CRONICO
H20.03;UVEITIS ANTERIOR EN HERPES ZOSTER;CRONICO
H20.02;UVEITIS ANTERIOR RECURRENTE O SUBAGUDA;CRONICO
H30.21;UVEITIS INTERMEDIA;CRONICO
H30.22;UVEITIS INTERMEDIA HTLV-1 [VIRUS LINFOTROPO HUMANO CELULAS T TIPO 1];CRONICO
H54.5;VISION SUB NORMAL DE UN OJO;CRONICO
H54.2;VISION SUBNORMAL DE AMBOS OJOS;CRONICO
H21.2;DEGENERACION DEL IRIS Y DEL CUERPO CILIAR;CUIDA
H21.3;QUISTE DEL IRIS, DEL CUERPO CILIAR Y DE LA CAMARA ANTERIOR;CUIDA
A74.0;CONJUNTIVITIS POR CHLAMYDIAS;CURA
B30.0;QUERATOCONJUNTIVITIS DEBIDO A ADENOVIRUS;CURA
B30.1;CONJUNTIVITIS DEBIDO A ADENOVIRUS;CURA
B30.2;FARINGOCONJUNTIVITIS VIRAL;CURA
B30.3;CONJUNTIVITIS EPIDEMICA AGUDA HEMORRAGICA DEBIDO A ENTEROVIRUS;CURA
B30.8;OTRAS CONJUNTIVITIS VIRALES;CURA
B30.9;CONJUNTIVITIS VIRAL, SIN OTRA ESPECIFICACION;CURA
H20.05;UVEITIS ANTERIOR TRAUMATICA;CURA
H31;OTROS TRASTORNOS DE LA COROIDES;CURA
H30.01;RETINITIS FOCAL;CURA
H36.82;RETINOPATIA PROLIFERATIVA EN ANEMIA FALCIFORME (D57.-);CURA
H35.07;RETINOPATIAS;CURA
B58;TOXOPLASMOSIS;CURA
B20.8;ENFERMEDAD POR VIH, RESULTANTE EN OTRAS ENFERMEDADES INFECCIOSAS O PAR;CURA
E70.3;ALBINISMO;CRONICO
M35.2;ENFERMEDAD DE BEHCET;CRONICO
M02.3;ENFERMEDAD DE REITER;CRONICO
H20;IRIDOCICLITIS;CRONICO
H20.81;CICLITIS HETEROCROMICA DE FUCHS;CURA
H30.80;ENFERMEDAD DE VOGT KOYANAGI HARADA (VKH);CURA
H15.01;ESCLERITIS ANTERIOR;CURA
H20;IRIDOCICLITIS;CUIDA
H22.10;IRIDOCICLITIS EN ESPONDILITIS ANQUILOSANTE (M45);CUIDA
