Año;Mes;Mes Corto;Mes Numero;Codigo IPRESS;Clinica Descripcion;Region;Provincia;Distrito;Competencia;Cant Atenciones Medicas;Cirugia Mayor Efectiva;Cirugia Menor Efectiva
2026;FEBREBRO;FEB;2;11358;Confia Instituto Oftalmologico;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;483;24;38
2026;FEBREBRO;FEB;2;9933;Clinica Oftalmologica Macula D&T ;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;1949;0;101
2026;FEBREBRO;FEB;2;15182;Clinica Optima Vision;LIMA;LIMA;MIRAFLORES;LIMA CENTRO;723;0;17
2026;FEBREBRO;FEB;2;13900;OftalmoSalud - Surco;LIMA;LIMA;SURCO;LIMA CENTRO;609;0;8
2026;FEBREBRO;FEB;2;23741;Clinica Oftalmo Vissum;LIMA;LIMA;SURCO;LIMA CENTRO;357;0;37
2026;FEBREBRO;FEB;2;15461;Vista Salud Centro Oftalmologico;LIMA;LIMA;SURCO;LIMA CENTRO;663;0;30
2026;FEBREBRO;FEB;2;17676;OftalmoSalud - SJM;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA CENTRO;3532;0;135
2026;FEBREBRO;FEB;2;11167;Oftalmomedic;LIMA;LIMA;CERCADO;LIMA CENTRO;742;54;16
2026;FEBREBRO;FEB;2;12020;Clinica Oftalmologica Ñahui Salud - Surquillo;LIMA;LIMA;SURQUILLO;LIMA CENTRO;10996;0;356
2026;FEBREBRO;FEB;2;9483;Oculaser SAC;LIMA;LIMA;LIMA;LIMA CENTRO;947;;
2026;FEBREBRO;FEB;2;15927;Clinica de Ojos D'opeluse;LIMA;LIMA;LINCE;LIMA CENTRO;6076;98;28
2026;FEBREBRO;FEB;2;23852;Oftalmosalud - Los Olivos;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;2704;0;54
2026;FEBREBRO;FEB;2;10739;Clinica Oftalmologica Wong;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;2528;0;283
2026;FEBREBRO;FEB;2;17099;Oftalmologos Contreras C.SCRL;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;339;20;5
2026;FEBREBRO;FEB;2;30606;Visana Clinica Especializada Oftalmologica;LIMA;LIMA;COMAS;LIMA NORTE;1338;82;1
2026;FEBREBRO;FEB;2;9505;Oftalmosalud - San Isidro;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;7714;533;271
2026;FEBREBRO;FEB;2;18626;Oftalmica;LIMA;LIMA;SAN BORJA;LIMA CENTRO;2908;196;43
2026;FEBREBRO;FEB;2;11372;Futuro Vision ;LIMA;LIMA;SAN BORJA;LIMA CENTRO;1063;0;73
2026;FEBREBRO;FEB;2;15716;Clinica Vista;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;703;;
2026;FEBREBRO;FEB;2;20230;Clinica de ojos Global Laser;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;1576;0;148
2026;FEBREBRO;FEB;2;;Clinica OftalmoMédic - Lima Norte;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;708;;20
2026;MARZO;MAR;3;12429;Clinica Oftalmologica Wong;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;811;;
2026;MARZO;MAR;3;28155;Consultorio Medico Oftalmologico Vista;LIMA;LIMA;COMAS;LIMA NORTE;;;
2026;MARZO;MAR;3;34209;Clinica Oftalmologica Ñahui Salud - Comas;LIMA;LIMA;COMAS;LIMA NORTE;1923;0;64
2026;MARZO;MAR;3;25804;Opero;LIMA;LIMA;CERCADO;LIMA CENTRO;46;3;20
2026;MARZO;MAR;3;22016;Clinica la Luz Oftalmologica;LIMA;LIMA;CERCADO;LIMA CENTRO;2081;18;13
